mean,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49
9.995420000000000016e+01,9.990000000000000568e+01,1.005150000000000006e+02,1.005200000000000102e+02,9.984499999999999886e+01,1.004449999999999932e+02,9.976000000000000512e+01,9.985999999999999943e+01,9.938499999999999091e+01,1.001349999999999909e+02,9.996000000000000796e+01,9.977500000000000568e+01,9.984999999999999432e+01,1.000349999999999966e+02,9.971999999999999886e+01,9.947499999999999432e+01,9.982499999999998863e+01,9.997999999999998977e+01,1.000250000000000057e+02,1.002299999999999898e+02,9.996500000000000341e+01,9.983500000000000796e+01,1.000049999999999955e+02,1.004350000000000023e+02,9.996999999999999886e+01,1.001250000000000000e+02,9.981999999999999318e+01,9.992499999999999716e+01,1.000300000000000011e+02,9.984499999999999886e+01,9.956999999999999318e+01,1.006800000000000068e+02,9.943000000000000682e+01,1.001400000000000006e+02,9.984000000000000341e+01,1.000300000000000011e+02,1.003449999999999989e+02,9.968000000000000682e+01,9.972499999999999432e+01,9.980000000000001137e+01,9.944999999999998863e+01,1.004950000000000045e+02,9.951500000000000057e+01,9.973000000000000398e+01,9.996500000000000341e+01,1.002800000000000011e+02,9.990999999999999659e+01,1.003849999999999909e+02,9.976999999999999602e+01,9.972999999999998977e+01,1.000450000000000017e+02
9.994730000000001269e+01,9.961500000000000909e+01,1.002999999999999972e+02,1.011599999999999966e+02,9.962000000000000455e+01,1.000250000000000057e+02,9.986500000000000909e+01,9.975000000000000000e+01,9.926499999999998636e+01,1.002800000000000011e+02,1.006449999999999960e+02,9.982500000000000284e+01,9.931000000000000227e+01,9.957500000000000284e+01,9.956499999999999773e+01,9.933500000000000796e+01,9.973499999999999943e+01,1.000450000000000017e+02,9.950499999999999545e+01,9.930500000000000682e+01,9.988499999999999091e+01,1.007849999999999966e+02,1.000749999999999886e+02,1.001099999999999994e+02,9.986499999999999488e+01,1.002549999999999955e+02,9.928000000000000114e+01,1.000150000000000006e+02,1.008499999999999943e+02,1.003050000000000068e+02,9.902500000000000568e+01,1.013199999999999932e+02,9.992500000000001137e+01,1.000799999999999983e+02,1.001749999999999972e+02,1.001749999999999972e+02,1.003550000000000040e+02,9.985999999999999943e+01,9.993500000000000227e+01,9.982999999999999829e+01,9.944499999999999318e+01,1.006949999999999932e+02,9.975000000000000000e+01,9.993500000000000227e+01,9.993000000000000682e+01,1.002399999999999949e+02,9.897499999999999432e+01,1.002849999999999966e+02,9.959000000000000341e+01,9.948000000000000398e+01,1.002100000000000080e+02
9.995489999999999498e+01,9.971500000000000341e+01,1.003249999999999886e+02,1.009599999999999937e+02,9.967000000000000171e+01,9.939000000000000057e+01,9.971500000000000341e+01,9.967499999999999716e+01,9.868500000000000227e+01,1.002999999999999972e+02,1.013650000000000091e+02,9.940500000000000114e+01,9.928499999999999659e+01,9.938500000000000512e+01,9.928999999999999204e+01,9.947999999999998977e+01,9.960499999999998977e+01,9.985999999999999943e+01,9.958500000000000796e+01,9.957500000000000284e+01,9.989000000000000057e+01,1.010000000000000000e+02,1.001299999999999955e+02,1.000900000000000034e+02,9.987999999999999545e+01,1.003549999999999898e+02,9.931999999999999318e+01,1.002999999999999972e+02,1.006649999999999920e+02,1.000550000000000068e+02,9.931000000000000227e+01,1.012300000000000040e+02,1.004650000000000034e+02,9.996999999999999886e+01,1.000900000000000034e+02,9.985499999999998977e+01,1.008900000000000006e+02,1.004549999999999983e+02,1.002199999999999989e+02,9.993999999999999773e+01,9.943999999999999773e+01,1.008100000000000023e+02,1.000799999999999983e+02,9.977500000000000568e+01,9.995999999999999375e+01,9.990500000000000114e+01,9.890999999999999659e+01,1.001500000000000057e+02,9.963499999999999091e+01,9.922499999999999432e+01,1.004749999999999943e+02
9.997720000000002472e+01,9.996000000000000796e+01,1.001800000000000068e+02,1.008050000000000068e+02,9.959999999999999432e+01,9.993999999999999773e+01,9.945500000000001251e+01,9.959999999999999432e+01,9.870000000000000284e+01,1.007849999999999966e+02,1.017600000000000051e+02,9.983500000000000796e+01,9.940999999999999659e+01,1.000799999999999983e+02,9.890999999999999659e+01,9.904499999999998749e+01,9.937500000000000000e+01,9.972499999999999432e+01,1.002349999999999994e+02,9.940500000000000114e+01,9.959499999999999886e+01,1.007500000000000000e+02,1.000250000000000057e+02,1.000550000000000068e+02,9.943999999999999773e+01,1.009800000000000040e+02,9.923000000000000398e+01,1.006349999999999909e+02,1.004249999999999972e+02,1.001850000000000023e+02,9.939500000000001023e+01,1.010099999999999909e+02,1.007800000000000011e+02,1.000900000000000034e+02,1.006150000000000091e+02,9.974500000000000455e+01,1.011749999999999972e+02,1.002950000000000017e+02,1.002600000000000051e+02,9.961500000000000909e+01,9.837000000000000455e+01,1.005200000000000102e+02,1.005300000000000011e+02,9.959499999999999886e+01,9.975000000000000000e+01,1.003149999999999977e+02,9.861500000000000909e+01,1.003799999999999955e+02,9.933500000000000796e+01,9.971999999999999886e+01,1.006250000000000000e+02
9.999109999999998877e+01,1.000049999999999955e+02,1.000550000000000068e+02,1.002650000000000006e+02,9.965000000000000568e+01,9.934499999999999886e+01,9.986499999999999488e+01,9.949500000000000455e+01,9.865999999999999659e+01,1.010399999999999920e+02,1.019650000000000034e+02,1.000949999999999989e+02,1.000000000000000000e+02,9.978999999999999204e+01,9.844999999999998863e+01,9.906999999999999318e+01,9.906999999999999318e+01,9.918500000000000227e+01,1.007099999999999937e+02,9.884999999999999432e+01,9.910500000000000398e+01,1.007000000000000028e+02,1.003299999999999983e+02,1.000499999999999972e+02,9.945000000000000284e+01,1.004549999999999983e+02,9.969499999999999318e+01,1.000699999999999932e+02,1.000300000000000011e+02,9.980500000000000682e+01,9.962500000000000000e+01,1.018549999999999898e+02,1.008649999999999949e+02,1.007700000000000102e+02,1.006349999999999909e+02,1.000850000000000080e+02,1.011500000000000057e+02,1.006649999999999920e+02,9.997499999999999432e+01,9.926500000000000057e+01,9.818000000000000682e+01,1.002800000000000011e+02,1.011200000000000045e+02,9.986499999999999488e+01,1.000300000000000011e+02,1.005949999999999989e+02,9.896500000000000341e+01,1.003900000000000006e+02,9.958500000000000796e+01,9.969499999999999318e+01,1.007049999999999983e+02
9.999060000000001480e+01,9.965000000000000568e+01,9.954499999999998749e+01,1.004099999999999966e+02,9.946000000000000796e+01,9.971500000000000341e+01,9.942500000000001137e+01,9.953000000000000114e+01,9.887000000000000455e+01,1.012899999999999920e+02,1.020949999999999989e+02,1.003799999999999955e+02,9.959499999999999886e+01,9.913499999999999091e+01,9.829999999999999716e+01,9.958500000000000796e+01,9.884000000000000341e+01,9.854500000000000171e+01,1.007100000000000080e+02,9.928999999999999204e+01,9.951000000000000512e+01,1.005500000000000114e+02,1.004050000000000011e+02,9.959000000000000341e+01,9.978499999999999659e+01,1.000150000000000006e+02,9.965500000000000114e+01,9.977000000000001023e+01,1.004300000000000068e+02,9.968500000000000227e+01,9.963499999999999091e+01,1.027049999999999983e+02,1.009200000000000017e+02,1.008499999999999943e+02,1.006099999999999994e+02,9.977500000000000568e+01,1.013649999999999949e+02,1.007450000000000045e+02,9.943000000000000682e+01,9.886500000000000909e+01,9.817500000000001137e+01,1.001449999999999960e+02,1.013199999999999932e+02,1.003350000000000080e+02,1.000399999999999920e+02,1.005499999999999972e+02,9.922499999999999432e+01,1.011949999999999932e+02,9.970999999999999375e+01,9.981000000000000227e+01,1.003599999999999994e+02
1.000172999999999774e+02,9.945999999999999375e+01,9.950000000000000000e+01,1.007849999999999966e+02,1.003700000000000045e+02,9.987999999999999545e+01,9.926000000000000512e+01,9.972999999999998977e+01,9.815000000000000568e+01,1.009149999999999920e+02,1.018549999999999898e+02,1.002899999999999920e+02,9.973999999999999488e+01,9.903499999999999659e+01,9.819499999999999318e+01,9.998499999999999943e+01,9.887999999999999545e+01,9.856000000000000227e+01,1.007950000000000017e+02,9.909000000000000341e+01,9.924500000000000455e+01,1.004549999999999983e+02,1.002100000000000080e+02,9.965500000000000114e+01,9.997499999999999432e+01,1.002599999999999909e+02,1.001050000000000040e+02,9.942000000000000171e+01,1.006200000000000045e+02,9.993000000000000682e+01,9.979500000000000171e+01,1.024699999999999989e+02,1.005499999999999972e+02,1.010300000000000011e+02,1.004300000000000068e+02,9.950999999999999091e+01,1.010649999999999977e+02,1.008349999999999937e+02,1.000600000000000023e+02,9.925000000000000000e+01,9.854499999999998749e+01,1.003599999999999994e+02,1.015750000000000028e+02,1.002800000000000011e+02,1.000000000000000000e+02,1.009399999999999977e+02,9.872499999999999432e+01,1.015999999999999943e+02,9.948000000000000398e+01,9.959999999999999432e+01,1.004149999999999920e+02
1.000588999999999800e+02,9.987000000000000455e+01,9.953499999999999659e+01,1.006800000000000068e+02,1.006550000000000011e+02,9.975499999999999545e+01,9.898499999999999943e+01,9.952000000000001023e+01,9.819499999999999318e+01,1.006450000000000102e+02,1.015200000000000102e+02,1.000550000000000068e+02,9.978000000000000114e+01,9.910999999999999943e+01,9.815000000000000568e+01,9.971500000000000341e+01,9.893500000000000227e+01,9.868999999999999773e+01,1.008299999999999983e+02,9.883500000000000796e+01,9.900499999999999545e+01,1.010300000000000011e+02,1.006400000000000006e+02,9.925000000000000000e+01,1.003900000000000006e+02,1.004500000000000028e+02,1.002800000000000011e+02,9.937000000000000455e+01,1.002650000000000006e+02,9.978000000000000114e+01,1.001250000000000000e+02,1.025200000000000102e+02,1.009899999999999949e+02,1.009399999999999977e+02,1.004900000000000091e+02,9.928499999999999659e+01,1.015300000000000011e+02,1.009749999999999943e+02,1.003300000000000125e+02,9.870499999999999829e+01,9.944999999999998863e+01,1.005550000000000068e+02,1.017300000000000040e+02,1.001200000000000045e+02,1.004600000000000080e+02,1.009000000000000057e+02,9.832999999999999829e+01,1.016299999999999955e+02,9.942500000000001137e+01,1.000450000000000017e+02,1.004900000000000091e+02
1.000056000000000012e+02,9.956499999999999773e+01,9.953999999999999204e+01,1.004550000000000125e+02,1.005849999999999937e+02,9.936500000000000909e+01,9.895000000000000284e+01,9.935999999999999943e+01,9.828000000000000114e+01,1.009200000000000017e+02,1.018100000000000023e+02,9.993999999999999773e+01,1.000100000000000051e+02,9.881000000000000227e+01,9.834999999999999432e+01,9.989500000000001023e+01,9.862500000000000000e+01,9.874000000000000909e+01,1.013050000000000068e+02,9.851000000000000512e+01,9.917000000000000171e+01,1.004449999999999932e+02,1.003549999999999898e+02,9.940000000000000568e+01,1.006099999999999994e+02,1.003849999999999909e+02,1.000600000000000023e+02,9.953000000000000114e+01,1.000750000000000028e+02,9.975999999999999091e+01,9.990000000000000568e+01,1.024399999999999977e+02,1.009449999999999932e+02,1.004300000000000068e+02,9.982500000000000284e+01,9.956000000000000227e+01,1.017500000000000000e+02,1.011550000000000011e+02,1.001150000000000091e+02,9.887500000000000000e+01,9.935999999999999943e+01,1.003799999999999955e+02,1.016500000000000057e+02,1.000199999999999960e+02,1.004399999999999977e+02,1.001749999999999972e+02,9.820499999999999829e+01,1.024749999999999943e+02,9.948999999999999488e+01,9.962999999999999545e+01,1.006550000000000011e+02
1.000588000000000335e+02,9.943500000000000227e+01,9.953499999999999659e+01,1.010349999999999966e+02,1.002549999999999955e+02,9.923499999999999943e+01,9.888500000000000512e+01,9.954499999999998749e+01,9.810999999999999943e+01,1.010750000000000028e+02,1.009900000000000091e+02,1.000150000000000006e+02,1.008249999999999886e+02,9.835500000000000398e+01,9.881499999999999773e+01,9.953000000000000114e+01,9.926999999999999602e+01,9.860499999999998977e+01,1.015450000000000017e+02,9.897499999999999432e+01,9.865999999999999659e+01,1.009650000000000034e+02,1.001949999999999932e+02,9.910500000000000398e+01,1.003600000000000136e+02,1.001899999999999977e+02,1.000699999999999932e+02,9.950499999999999545e+01,9.963499999999999091e+01,1.009849999999999994e+02,1.000250000000000057e+02,1.027650000000000006e+02,1.010400000000000063e+02,1.007150000000000034e+02,1.000049999999999955e+02,9.921999999999999886e+01,1.016749999999999972e+02,1.013400000000000034e+02,9.992500000000001137e+01,9.949000000000000909e+01,9.914499999999999602e+01,1.001250000000000000e+02,1.012549999999999955e+02,9.992499999999999716e+01,1.001250000000000000e+02,1.007549999999999955e+02,9.815500000000000114e+01,1.029099999999999966e+02,9.970999999999999375e+01,1.000999999999999943e+02,1.008299999999999983e+02
