mean,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49
1.002719000000000165e+02,1.006450000000000102e+02,1.002500000000000000e+02,1.003549999999999898e+02,9.977500000000000568e+01,1.001750000000000114e+02,9.989500000000001023e+01,1.010949999999999989e+02,1.002999999999999972e+02,1.002299999999999898e+02,1.002750000000000057e+02,1.005199999999999960e+02,9.987500000000000000e+01,1.002199999999999989e+02,1.005550000000000068e+02,1.007549999999999955e+02,1.005699999999999932e+02,1.004549999999999983e+02,9.942499999999999716e+01,1.000649999999999977e+02,1.003400000000000034e+02,1.002450000000000045e+02,1.001750000000000114e+02,1.008499999999999943e+02,9.962999999999999545e+01,1.002400000000000091e+02,1.002199999999999989e+02,1.001999999999999886e+02,1.007999999999999972e+02,1.002699999999999960e+02,1.003850000000000051e+02,1.009350000000000023e+02,1.006599999999999966e+02,9.994499999999999318e+01,1.002800000000000011e+02,1.004899999999999949e+02,1.002450000000000045e+02,1.003249999999999886e+02,9.993999999999999773e+01,1.008599999999999994e+02,1.001099999999999994e+02,1.002699999999999960e+02,1.002900000000000063e+02,1.007199999999999989e+02,9.957999999999999829e+01,9.980500000000000682e+01,1.002900000000000063e+02,1.001350000000000051e+02,9.999500000000000455e+01,1.002150000000000034e+02,9.971500000000000341e+01
1.002664000000000186e+02,1.006999999999999886e+02,1.009399999999999977e+02,1.005550000000000068e+02,9.965500000000000114e+01,1.002800000000000011e+02,1.001850000000000023e+02,1.009300000000000068e+02,1.001400000000000006e+02,1.000049999999999955e+02,1.005250000000000057e+02,1.007050000000000125e+02,1.000199999999999960e+02,9.987999999999999545e+01,1.005250000000000057e+02,1.009099999999999966e+02,1.004099999999999966e+02,1.003599999999999994e+02,9.962000000000000455e+01,1.000250000000000057e+02,1.003100000000000023e+02,9.990500000000000114e+01,9.984000000000000341e+01,1.002800000000000011e+02,9.955500000000000682e+01,1.004849999999999994e+02,9.960999999999999943e+01,9.987500000000000000e+01,1.007950000000000017e+02,1.003499999999999943e+02,1.006250000000000000e+02,1.007299999999999898e+02,1.011450000000000102e+02,1.000200000000000102e+02,1.002249999999999943e+02,1.006500000000000057e+02,1.004799999999999898e+02,9.956999999999999318e+01,9.993500000000000227e+01,1.006500000000000057e+02,1.003599999999999994e+02,1.002000000000000028e+02,1.000349999999999966e+02,1.006200000000000045e+02,9.969499999999999318e+01,9.978000000000000114e+01,1.003900000000000006e+02,1.003050000000000068e+02,1.004499999999999886e+02,1.005900000000000034e+02,9.949000000000000909e+01
1.002685999999999922e+02,1.002750000000000057e+02,1.009149999999999920e+02,1.003799999999999955e+02,9.965000000000000568e+01,1.008549999999999898e+02,1.005000000000000000e+02,1.009050000000000011e+02,1.005099999999999909e+02,1.000000000000000000e+02,1.003799999999999955e+02,1.009000000000000057e+02,1.003599999999999994e+02,1.003400000000000034e+02,1.007650000000000006e+02,1.012249999999999943e+02,1.005949999999999989e+02,1.005749999999999886e+02,9.941499999999999204e+01,9.976999999999999602e+01,1.005750000000000028e+02,9.983000000000001251e+01,1.001800000000000068e+02,1.009849999999999994e+02,9.895000000000000284e+01,1.007750000000000057e+02,9.907999999999999829e+01,9.943000000000000682e+01,1.006099999999999994e+02,1.006650000000000063e+02,1.005250000000000057e+02,1.005750000000000028e+02,1.006899999999999977e+02,1.006899999999999977e+02,1.005600000000000023e+02,1.008299999999999983e+02,1.005649999999999977e+02,9.957499999999998863e+01,9.995500000000001251e+01,1.006550000000000011e+02,9.978000000000000114e+01,1.002800000000000011e+02,1.006599999999999966e+02,1.007899999999999920e+02,1.003249999999999886e+02,9.926500000000000057e+01,9.947999999999998977e+01,1.004449999999999932e+02,9.855500000000000682e+01,1.000349999999999966e+02,9.980000000000001137e+01
1.002777999999999849e+02,1.004699999999999989e+02,1.006899999999999977e+02,9.978499999999999659e+01,1.002299999999999898e+02,1.011200000000000045e+02,1.002700000000000102e+02,1.009149999999999920e+02,1.004849999999999994e+02,1.002299999999999898e+02,1.003100000000000023e+02,1.002150000000000034e+02,9.904500000000000171e+01,1.002599999999999909e+02,1.009149999999999920e+02,1.014000000000000057e+02,1.007199999999999989e+02,1.007399999999999949e+02,9.985500000000000398e+01,9.977500000000000568e+01,9.999500000000000455e+01,1.000049999999999955e+02,1.004149999999999920e+02,1.010799999999999983e+02,9.874500000000000455e+01,1.009300000000000068e+02,9.855500000000000682e+01,9.915999999999999659e+01,1.006099999999999994e+02,1.010000000000000000e+02,1.003599999999999994e+02,1.008050000000000068e+02,1.010799999999999983e+02,1.007249999999999943e+02,1.007549999999999955e+02,1.006949999999999932e+02,1.008249999999999886e+02,9.940999999999999659e+01,9.984499999999999886e+01,1.009549999999999983e+02,9.967000000000000171e+01,1.004600000000000080e+02,1.008100000000000023e+02,1.004449999999999932e+02,1.009350000000000023e+02,9.962000000000000455e+01,9.947999999999998977e+01,1.000949999999999989e+02,9.984000000000000341e+01,9.981499999999999773e+01,9.934000000000000341e+01
1.003422999999999945e+02,9.993999999999999773e+01,1.002650000000000006e+02,9.968500000000000227e+01,1.000600000000000023e+02,1.018799999999999955e+02,1.008599999999999994e+02,1.008400000000000034e+02,1.006700000000000017e+02,1.002999999999999972e+02,1.002999999999999972e+02,1.002549999999999955e+02,9.889000000000000057e+01,1.008849999999999909e+02,1.010900000000000034e+02,1.013100000000000023e+02,1.008449999999999989e+02,1.009549999999999983e+02,1.002849999999999966e+02,9.984999999999999432e+01,9.992000000000000171e+01,9.984000000000000341e+01,9.956499999999999773e+01,1.010200000000000102e+02,9.862999999999999545e+01,1.015450000000000017e+02,9.859999999999999432e+01,9.937500000000000000e+01,1.009200000000000017e+02,1.004849999999999994e+02,1.004000000000000057e+02,1.001700000000000017e+02,1.015749999999999886e+02,1.006150000000000091e+02,1.010900000000000034e+02,1.008799999999999955e+02,1.008850000000000051e+02,1.000799999999999983e+02,1.001400000000000006e+02,1.011550000000000011e+02,1.002800000000000011e+02,1.010600000000000023e+02,1.012950000000000017e+02,1.001349999999999909e+02,1.004699999999999989e+02,9.968999999999999773e+01,9.968000000000000682e+01,9.911500000000000909e+01,1.002049999999999983e+02,9.985500000000000398e+01,9.927500000000000568e+01
1.002976999999999492e+02,9.962000000000000455e+01,1.002049999999999983e+02,9.950499999999999545e+01,9.987500000000000000e+01,1.024600000000000080e+02,1.007999999999999972e+02,1.007600000000000051e+02,1.004249999999999972e+02,9.984000000000000341e+01,1.002949999999999875e+02,1.000099999999999909e+02,9.931499999999999773e+01,1.012249999999999943e+02,1.009900000000000091e+02,1.007300000000000040e+02,1.000550000000000068e+02,1.012100000000000080e+02,1.000949999999999989e+02,1.002800000000000011e+02,1.001850000000000023e+02,9.994499999999999318e+01,9.962000000000000455e+01,1.011400000000000006e+02,9.806499999999999773e+01,1.018100000000000023e+02,9.843999999999999773e+01,9.944499999999999318e+01,1.009399999999999977e+02,1.003900000000000006e+02,1.002199999999999989e+02,1.002650000000000006e+02,1.019800000000000040e+02,1.003950000000000102e+02,1.006850000000000023e+02,1.001800000000000068e+02,1.007650000000000006e+02,1.001599999999999966e+02,1.005999999999999943e+02,1.007599999999999909e+02,1.003599999999999994e+02,1.010450000000000017e+02,1.008499999999999943e+02,9.998000000000000398e+01,1.004950000000000045e+02,9.943999999999999773e+01,1.001200000000000045e+02,9.915000000000000568e+01,1.003950000000000102e+02,9.970999999999999375e+01,9.965500000000000114e+01
1.002918999999999272e+02,9.925999999999999091e+01,1.001450000000000102e+02,9.943999999999999773e+01,9.992000000000000171e+01,1.020049999999999955e+02,1.008199999999999932e+02,1.010999999999999943e+02,1.005900000000000034e+02,9.918999999999999773e+01,1.004550000000000125e+02,9.998000000000000398e+01,9.932999999999999829e+01,1.012249999999999943e+02,1.005999999999999943e+02,1.007500000000000000e+02,1.001949999999999932e+02,1.013250000000000028e+02,9.996000000000000796e+01,1.011200000000000045e+02,1.002950000000000017e+02,9.945499999999999829e+01,9.995000000000000284e+01,1.013350000000000080e+02,9.800499999999999545e+01,1.021700000000000017e+02,9.859499999999999886e+01,9.920000000000000284e+01,1.004399999999999977e+02,1.008650000000000091e+02,9.994499999999999318e+01,1.000849999999999937e+02,1.017650000000000006e+02,1.009499999999999886e+02,1.004900000000000091e+02,1.001250000000000000e+02,1.009300000000000068e+02,9.945499999999999829e+01,1.005150000000000006e+02,1.013100000000000023e+02,1.000300000000000011e+02,1.009549999999999983e+02,1.009449999999999932e+02,9.931999999999999318e+01,1.009449999999999932e+02,9.976000000000000512e+01,1.001899999999999977e+02,9.943999999999999773e+01,1.004500000000000028e+02,9.973499999999999943e+01,9.953499999999999659e+01
1.002027999999999821e+02,9.874000000000000909e+01,1.003650000000000091e+02,9.953000000000000114e+01,9.931999999999999318e+01,1.018550000000000040e+02,1.004849999999999994e+02,1.011500000000000057e+02,1.002699999999999960e+02,9.881999999999999318e+01,1.006400000000000006e+02,9.976500000000000057e+01,9.928000000000000114e+01,1.005349999999999966e+02,1.002549999999999955e+02,1.000900000000000034e+02,1.003100000000000023e+02,1.016550000000000011e+02,1.000900000000000034e+02,1.012349999999999994e+02,1.001899999999999977e+02,9.948000000000000398e+01,9.981000000000000227e+01,1.014099999999999966e+02,9.791499999999999204e+01,1.017500000000000000e+02,9.855500000000000682e+01,9.918999999999999773e+01,1.005949999999999989e+02,1.009549999999999983e+02,9.996000000000000796e+01,1.002549999999999955e+02,1.011550000000000011e+02,1.005199999999999960e+02,1.002549999999999955e+02,1.002650000000000006e+02,1.008100000000000023e+02,9.965999999999999659e+01,1.012050000000000125e+02,1.016700000000000017e+02,1.004399999999999977e+02,1.007500000000000000e+02,1.011800000000000068e+02,9.945000000000000284e+01,1.006099999999999994e+02,9.925499999999999545e+01,1.001500000000000057e+02,9.928999999999999204e+01,1.003499999999999943e+02,9.979999999999999716e+01,9.887000000000000455e+01
1.001429000000000116e+02,9.908500000000000796e+01,9.993000000000000682e+01,9.968999999999999773e+01,9.950499999999999545e+01,1.018400000000000034e+02,1.008300000000000125e+02,1.009800000000000040e+02,1.000400000000000063e+02,9.929499999999998749e+01,1.002500000000000000e+02,9.975000000000000000e+01,9.855500000000000682e+01,1.005550000000000068e+02,1.007699999999999960e+02,1.003949999999999960e+02,9.995499999999999829e+01,1.011999999999999886e+02,9.990999999999999659e+01,1.011500000000000057e+02,1.003199999999999932e+02,9.941499999999999204e+01,9.931000000000000227e+01,1.015200000000000102e+02,9.784499999999999886e+01,1.016400000000000006e+02,9.818999999999999773e+01,1.000649999999999977e+02,1.005850000000000080e+02,1.006349999999999909e+02,1.003050000000000068e+02,1.000900000000000034e+02,1.008299999999999983e+02,9.973000000000000398e+01,1.007050000000000125e+02,1.001500000000000057e+02,1.006649999999999920e+02,9.954999999999999716e+01,1.008700000000000045e+02,1.016949999999999932e+02,1.003900000000000006e+02,1.011400000000000006e+02,1.009350000000000023e+02,9.993999999999999773e+01,1.004399999999999977e+02,9.881000000000000227e+01,1.000100000000000051e+02,9.893000000000000682e+01,1.007549999999999955e+02,9.968999999999999773e+01,9.830500000000000682e+01
1.001311999999999784e+02,9.906999999999999318e+01,9.982499999999998863e+01,1.000550000000000068e+02,9.961500000000000909e+01,1.012800000000000011e+02,1.016899999999999977e+02,1.010099999999999909e+02,9.995000000000000284e+01,9.943999999999999773e+01,1.002800000000000011e+02,9.942000000000000171e+01,9.865000000000000568e+01,1.003750000000000000e+02,1.008299999999999983e+02,1.005799999999999983e+02,9.965000000000000568e+01,1.016400000000000006e+02,9.998999999999999488e+01,1.012400000000000091e+02,1.003799999999999955e+02,9.955000000000001137e+01,9.883500000000000796e+01,1.011899999999999977e+02,9.849500000000000455e+01,1.013350000000000080e+02,9.777500000000000568e+01,9.913499999999999091e+01,1.005149999999999864e+02,1.007699999999999960e+02,1.003449999999999989e+02,1.001550000000000011e+02,1.004899999999999949e+02,9.996999999999999886e+01,1.010600000000000023e+02,1.005300000000000011e+02,1.007699999999999960e+02,9.967000000000000171e+01,1.010949999999999989e+02,1.016949999999999932e+02,1.002450000000000045e+02,1.005250000000000057e+02,1.007150000000000034e+02,9.999000000000000909e+01,1.001899999999999977e+02,9.848499999999999943e+01,1.000049999999999955e+02,9.873500000000001364e+01,1.009000000000000057e+02,9.993500000000000227e+01,9.848499999999999943e+01
