mean,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49
1.005372000000000270e+02,1.004099999999999966e+02,1.010749999999999886e+02,1.002849999999999966e+02,1.001850000000000023e+02,1.000699999999999932e+02,1.006500000000000057e+02,1.001999999999999886e+02,1.001500000000000057e+02,1.006050000000000040e+02,1.000799999999999983e+02,9.999500000000000455e+01,1.002199999999999989e+02,1.005699999999999932e+02,1.014699999999999989e+02,1.003950000000000102e+02,1.001850000000000023e+02,1.007650000000000006e+02,1.005500000000000114e+02,1.004399999999999977e+02,1.007899999999999920e+02,1.007050000000000125e+02,1.007500000000000000e+02,1.008549999999999898e+02,9.960999999999999943e+01,1.004499999999999886e+02,1.002950000000000017e+02,1.008449999999999989e+02,1.005600000000000023e+02,1.003350000000000080e+02,1.004000000000000057e+02,1.012999999999999972e+02,1.003250000000000028e+02,1.010100000000000051e+02,1.006200000000000045e+02,1.009350000000000023e+02,1.007999999999999972e+02,1.007400000000000091e+02,1.006299999999999955e+02,1.013050000000000068e+02,1.004549999999999983e+02,1.002800000000000011e+02,1.004200000000000017e+02,1.007050000000000125e+02,9.971999999999999886e+01,1.001599999999999966e+02,1.005999999999999943e+02,1.006450000000000102e+02,1.007100000000000080e+02,1.011450000000000102e+02,1.004600000000000080e+02
1.006126999999999896e+02,1.008849999999999909e+02,1.012349999999999994e+02,1.004000000000000057e+02,9.987999999999999545e+01,1.002800000000000011e+02,1.007699999999999960e+02,1.001200000000000045e+02,1.009399999999999977e+02,1.001700000000000017e+02,9.997499999999999432e+01,9.975499999999999545e+01,9.991500000000000625e+01,1.000649999999999977e+02,1.010699999999999932e+02,1.009950000000000045e+02,1.007249999999999943e+02,1.008499999999999943e+02,1.005200000000000102e+02,1.005999999999999943e+02,1.011700000000000017e+02,1.006299999999999955e+02,1.008350000000000080e+02,1.003700000000000045e+02,9.939000000000000057e+01,1.006250000000000000e+02,1.007500000000000000e+02,1.008900000000000006e+02,1.004399999999999977e+02,1.006349999999999909e+02,1.001299999999999955e+02,1.021299999999999955e+02,1.006500000000000057e+02,1.011099999999999994e+02,1.008299999999999983e+02,1.011700000000000017e+02,1.007500000000000000e+02,1.010949999999999989e+02,1.007049999999999983e+02,1.015199999999999960e+02,1.005699999999999932e+02,1.001250000000000000e+02,1.002199999999999989e+02,1.007899999999999920e+02,1.001750000000000114e+02,1.003650000000000091e+02,1.008650000000000091e+02,1.004399999999999977e+02,1.007450000000000045e+02,1.007750000000000057e+02,1.005900000000000034e+02
1.005795999999999850e+02,1.007750000000000057e+02,1.011750000000000114e+02,1.004699999999999989e+02,1.002450000000000045e+02,1.002600000000000051e+02,1.005499999999999972e+02,9.937500000000000000e+01,1.008849999999999909e+02,1.002699999999999960e+02,1.003249999999999886e+02,9.959000000000000341e+01,9.973499999999999943e+01,9.981499999999999773e+01,1.013599999999999994e+02,1.010150000000000006e+02,1.007450000000000045e+02,1.009300000000000068e+02,1.007650000000000006e+02,1.004350000000000023e+02,1.013400000000000034e+02,9.996000000000000796e+01,1.003750000000000000e+02,1.000999999999999943e+02,9.973999999999999488e+01,1.003849999999999909e+02,1.001299999999999955e+02,1.009699999999999989e+02,1.002249999999999943e+02,1.008149999999999977e+02,1.002349999999999994e+02,1.020799999999999983e+02,1.007049999999999983e+02,1.007199999999999989e+02,1.010200000000000102e+02,1.008900000000000006e+02,1.007249999999999943e+02,1.012150000000000034e+02,1.011400000000000006e+02,1.014899999999999949e+02,1.007349999999999994e+02,1.000000000000000000e+02,1.003100000000000023e+02,1.009200000000000017e+02,1.001349999999999909e+02,1.006500000000000057e+02,1.006850000000000023e+02,1.003900000000000006e+02,1.009749999999999943e+02,1.006500000000000057e+02,1.005499999999999972e+02
1.006597999999999900e+02,1.010550000000000068e+02,1.010999999999999943e+02,1.009050000000000011e+02,1.003849999999999909e+02,1.003700000000000045e+02,1.005600000000000023e+02,9.938499999999999091e+01,1.010150000000000006e+02,1.004050000000000011e+02,1.000900000000000034e+02,9.946000000000000796e+01,1.000100000000000051e+02,9.976500000000000057e+01,1.016299999999999955e+02,1.009149999999999920e+02,1.007300000000000040e+02,1.006250000000000000e+02,1.007199999999999989e+02,1.008900000000000006e+02,1.017650000000000006e+02,9.981000000000000227e+01,1.006250000000000000e+02,1.003550000000000040e+02,1.003950000000000102e+02,1.003849999999999909e+02,1.005749999999999886e+02,1.010999999999999943e+02,9.989000000000000057e+01,1.011550000000000011e+02,1.002199999999999989e+02,1.028250000000000028e+02,1.012299999999999898e+02,1.011299999999999955e+02,1.013400000000000034e+02,1.010499999999999972e+02,1.009149999999999920e+02,1.006500000000000057e+02,1.013599999999999994e+02,1.018100000000000023e+02,1.009399999999999977e+02,9.989499999999999602e+01,9.990500000000000114e+01,1.008300000000000125e+02,1.002750000000000057e+02,1.003799999999999955e+02,1.008349999999999937e+02,9.970499999999999829e+01,1.006150000000000091e+02,1.005849999999999937e+02,1.004249999999999972e+02
1.007370000000000090e+02,1.010500000000000114e+02,1.016749999999999972e+02,1.014050000000000011e+02,1.005149999999999864e+02,1.005150000000000006e+02,1.005199999999999960e+02,9.896000000000000796e+01,1.009149999999999920e+02,1.007699999999999960e+02,9.962999999999999545e+01,9.931999999999999318e+01,9.987500000000000000e+01,9.998000000000000398e+01,1.016949999999999932e+02,1.009000000000000057e+02,1.010600000000000023e+02,1.008599999999999994e+02,1.008050000000000068e+02,1.008300000000000125e+02,1.007400000000000091e+02,1.004699999999999989e+02,1.003750000000000000e+02,1.003299999999999983e+02,1.004199999999999875e+02,1.008900000000000006e+02,1.018050000000000068e+02,1.014699999999999989e+02,9.987500000000000000e+01,1.008499999999999943e+02,1.006400000000000006e+02,1.024300000000000068e+02,1.012199999999999989e+02,1.008449999999999989e+02,1.018100000000000023e+02,1.010500000000000114e+02,1.012450000000000045e+02,1.008850000000000051e+02,1.018050000000000068e+02,1.018299999999999983e+02,1.009650000000000034e+02,1.000049999999999955e+02,1.005049999999999955e+02,1.006450000000000102e+02,1.003249999999999886e+02,1.002549999999999955e+02,1.012599999999999909e+02,9.955000000000001137e+01,1.001800000000000068e+02,1.002950000000000017e+02,1.005999999999999943e+02
1.007889999999999588e+02,1.008199999999999932e+02,1.015199999999999960e+02,1.012650000000000006e+02,1.004399999999999977e+02,1.004050000000000011e+02,1.002750000000000057e+02,9.881000000000000227e+01,1.014249999999999972e+02,1.004000000000000057e+02,1.000450000000000017e+02,9.868500000000000227e+01,1.005949999999999989e+02,1.001800000000000068e+02,1.017199999999999989e+02,1.017300000000000040e+02,1.006349999999999909e+02,1.007750000000000057e+02,1.013700000000000045e+02,1.006899999999999977e+02,1.005999999999999943e+02,1.004749999999999943e+02,1.011400000000000006e+02,1.004149999999999920e+02,1.004549999999999983e+02,1.008649999999999949e+02,1.016550000000000011e+02,1.019350000000000023e+02,1.003549999999999898e+02,1.014499999999999886e+02,1.004449999999999932e+02,1.018350000000000080e+02,1.011999999999999886e+02,1.012199999999999989e+02,1.015100000000000051e+02,1.007450000000000045e+02,1.022199999999999989e+02,1.009549999999999983e+02,1.022000000000000028e+02,1.013350000000000080e+02,1.012599999999999909e+02,9.990000000000000568e+01,1.003449999999999989e+02,1.009399999999999977e+02,1.002600000000000051e+02,1.004550000000000125e+02,1.012849999999999966e+02,9.894499999999999318e+01,1.002399999999999949e+02,1.000999999999999943e+02,1.009249999999999972e+02
1.008037000000000205e+02,1.004300000000000068e+02,1.016850000000000023e+02,1.013700000000000045e+02,1.005799999999999983e+02,1.001349999999999909e+02,1.009449999999999932e+02,9.893000000000000682e+01,1.012500000000000000e+02,1.001800000000000068e+02,9.989499999999999602e+01,9.859499999999999886e+01,1.008249999999999886e+02,9.990000000000000568e+01,1.014350000000000023e+02,1.017299999999999898e+02,1.007800000000000011e+02,1.012100000000000080e+02,1.011899999999999977e+02,1.012300000000000040e+02,1.005949999999999989e+02,9.982500000000000284e+01,1.012849999999999966e+02,1.005550000000000068e+02,1.004599999999999937e+02,1.012199999999999989e+02,1.018350000000000080e+02,1.019600000000000080e+02,1.003149999999999977e+02,1.022100000000000080e+02,1.005500000000000114e+02,1.016899999999999977e+02,1.011650000000000063e+02,1.014149999999999920e+02,1.018349999999999937e+02,1.010399999999999920e+02,1.019599999999999937e+02,1.002949999999999875e+02,1.025099999999999909e+02,1.015100000000000051e+02,1.016099999999999994e+02,1.003100000000000023e+02,1.002100000000000080e+02,1.002299999999999898e+02,9.984000000000000341e+01,1.001599999999999966e+02,1.010049999999999955e+02,9.939499999999999602e+01,1.000200000000000102e+02,1.001749999999999972e+02,1.007049999999999983e+02
1.008758999999999588e+02,1.008650000000000091e+02,1.015499999999999972e+02,1.011049999999999898e+02,1.009099999999999966e+02,1.003750000000000000e+02,1.007249999999999943e+02,9.849500000000000455e+01,1.010900000000000034e+02,9.982499999999998863e+01,9.981000000000000227e+01,9.850499999999999545e+01,1.008199999999999932e+02,1.000649999999999977e+02,1.012199999999999989e+02,1.017549999999999955e+02,1.006700000000000017e+02,1.018449999999999989e+02,1.019399999999999977e+02,1.011149999999999949e+02,1.010349999999999966e+02,9.939000000000000057e+01,1.015550000000000068e+02,1.007999999999999972e+02,1.005699999999999932e+02,1.010649999999999977e+02,1.014800000000000040e+02,1.020799999999999983e+02,1.006150000000000091e+02,1.023950000000000102e+02,1.007249999999999943e+02,1.020000000000000000e+02,1.015400000000000063e+02,1.011150000000000091e+02,1.014500000000000028e+02,1.010749999999999886e+02,1.019950000000000045e+02,1.004899999999999949e+02,1.024650000000000034e+02,1.013900000000000006e+02,1.024350000000000023e+02,9.943999999999999773e+01,1.002399999999999949e+02,1.004449999999999932e+02,9.990000000000000568e+01,1.008250000000000028e+02,1.012600000000000051e+02,9.980500000000000682e+01,1.001299999999999955e+02,9.986499999999999488e+01,1.015349999999999966e+02
1.008253000000000128e+02,1.013249999999999886e+02,1.017549999999999955e+02,1.011800000000000068e+02,1.016050000000000040e+02,1.000500000000000114e+02,1.008100000000000023e+02,9.870499999999999829e+01,1.007199999999999989e+02,1.000649999999999977e+02,9.914000000000000057e+01,9.795499999999999829e+01,1.009399999999999977e+02,1.001250000000000000e+02,1.007849999999999966e+02,1.015499999999999972e+02,1.006050000000000040e+02,1.016949999999999932e+02,1.014050000000000011e+02,1.006599999999999966e+02,1.009599999999999937e+02,9.932499999999998863e+01,1.024799999999999898e+02,1.007150000000000034e+02,1.008050000000000068e+02,1.007500000000000000e+02,1.013849999999999909e+02,1.019099999999999966e+02,1.012150000000000034e+02,1.022549999999999955e+02,1.009549999999999983e+02,1.017600000000000051e+02,1.011550000000000011e+02,1.011349999999999909e+02,1.011450000000000102e+02,1.013400000000000034e+02,1.017750000000000057e+02,1.004500000000000028e+02,1.029900000000000091e+02,1.011899999999999977e+02,1.019399999999999977e+02,9.909999999999999432e+01,1.005200000000000102e+02,9.959000000000000341e+01,9.985499999999998977e+01,1.008849999999999909e+02,1.008849999999999909e+02,1.002049999999999983e+02,1.001299999999999955e+02,9.965500000000000114e+01,1.017300000000000040e+02
1.008104000000000156e+02,1.016700000000000017e+02,1.010099999999999909e+02,1.017399999999999949e+02,1.017100000000000080e+02,1.001449999999999960e+02,1.006550000000000011e+02,9.840500000000000114e+01,1.000300000000000011e+02,9.979000000000000625e+01,9.950499999999999545e+01,9.803999999999999204e+01,1.001500000000000057e+02,1.001099999999999994e+02,1.007050000000000125e+02,1.011450000000000102e+02,1.004499999999999886e+02,1.019399999999999977e+02,1.016150000000000091e+02,1.005300000000000011e+02,1.019099999999999966e+02,9.925499999999999545e+01,1.024050000000000011e+02,1.010049999999999955e+02,1.008449999999999989e+02,1.008300000000000125e+02,1.011700000000000017e+02,1.016350000000000051e+02,1.011049999999999898e+02,1.025600000000000023e+02,1.007150000000000034e+02,1.018199999999999932e+02,1.018350000000000080e+02,1.006200000000000045e+02,1.015199999999999960e+02,1.007899999999999920e+02,1.016749999999999972e+02,1.008100000000000023e+02,1.030450000000000017e+02,1.012399999999999949e+02,1.020999999999999943e+02,9.918500000000000227e+01,1.007450000000000045e+02,9.912000000000000455e+01,9.934499999999999886e+01,1.011250000000000000e+02,1.007899999999999920e+02,1.002500000000000000e+02,1.005000000000000000e+02,9.947499999999999432e+01,1.017500000000000000e+02
